央视,#genre#
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8#http://60.10.167.88:808/hls/1/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8#http://60.10.167.88:808/hls/2/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8#http://60.10.167.88:808/hls/3/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8#http://60.10.167.88:808/hls/4/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225753/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225756/index.m3u8#http://60.10.167.88:808/hls/5/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225752/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225751/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225754/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225755/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225756/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225753/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225752/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225756/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225753/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225754/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225755/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8#http://60.10.167.88:808/hls/17/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8#http://60.10.167.88:808/hls/6/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225650/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8#http://60.10.167.88:808/hls/7/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8#http://39.135.138.58:18890/TVOD/88888888/224/3221225624/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8#http://60.10.167.88:808/hls/8/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8#http://60.10.167.88:808/hls/9/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8#http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
